city,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price,rent price,cap rate
ashkelon,apartment,106.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1750000.0,4173,2.861
ashdod,penthouse,200.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4000000.0,8211,2.463
tel aviv,apartment,57.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2400000.0,7848,3.924
natanya,apartment,55.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1580000.0,4602,3.495
natanya,apartment,74.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1650000.0,3800,2.764
ashdod,penthouse,210.0,0.0,5.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3600000.0,7471,2.490
ramat gan,duplex,60.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4000000.0,7936,2.381
tel aviv,apartment,90.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3500000.0,8108,2.780
beer sheva,apartment,80.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,970000.0,2611,3.230
natanya,apartment,156.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3820000.0,9962,3.129
beer sheva,apartment,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820000.0,3180,4.654
beer sheva,apartment,65.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,750000.0,2252,3.603
ashkelon,apartment,103.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1500000.0,3735,2.988
beer sheva,private house,240.0,150.0,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1600000.0,3558,2.668
petah tikva,private house,408.0,280.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7000000.0,9708,1.664
beer sheva,apartment,76.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,720000.0,2438,4.063
beer sheva,private house,300.0,300.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1250000.0,4425,4.248
natanya,private house,310.0,90.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3900000.0,15330,4.717
jerusalem,apartment,95.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3350000.0,7072,2.533
